◇ injected env (5) from .env // tip: ◈ encrypted .env [www.dotenvx.com]
Server running on port 5000
[excel-monitor] cache refreshed at 2026-07-14T10:26:10.805Z
[excel-monitor] cache refreshed at 2026-07-14T10:26:42.760Z
[excel-monitor] cache refreshed at 2026-07-14T10:27:12.831Z
[excel-monitor] cache refreshed at 2026-07-14T10:27:42.663Z
[excel-monitor] cache refreshed at 2026-07-14T10:28:12.741Z
[excel-monitor] cache refreshed at 2026-07-14T10:28:42.934Z
[excel-monitor] cache refreshed at 2026-07-14T10:29:12.669Z
[excel-monitor] cache refreshed at 2026-07-14T10:29:42.390Z
[excel-monitor] cache refreshed at 2026-07-14T10:30:12.197Z
[excel-monitor] cache refreshed at 2026-07-14T10:30:42.772Z
[excel-monitor] cache refreshed at 2026-07-14T10:31:12.652Z
[excel-monitor] cache refreshed at 2026-07-14T10:31:42.319Z
